49;46;85;94;62;40;26;24;86;5;75;4;29;35;32;4;11;41;53;87
83;11;90;14;34;62;64;27;30;74;89;30;59;53;54;93;77;41;96;7
42;63;37;13;19;68;35;67;20;84;17;80;68;83;41;21;48;71;4;93
92;84;52;38;56;60;41;74;24;34;50;39;75;65;55;5;11;60;46;65
45;84;30;59;33;85;45;9;87;29;93;62;43;51;26;80;76;68;95;77
34;35;34;67;36;80;20;6;52;32;85;4;8;38;7;30;15;16;21;58
18;45;23;26;27;13;18;52;58;82;40;40;94;98;37;91;98;76;19;5
22;78;61;13;41;59;98;74;10;95;79;21;16;46;98;38;8;24;69;49
28;29;21;79;78;69;43;78;44;46;42;82;23;64;77;50;23;52;58;80
82;29;97;61;62;39;1;81;8;51;95;84;25;36;39;83;37;13;70;49
46;28;36;85;45;28;92;91;78;33;76;94;98;73;94;9;19;22;45;75
75;48;14;2;78;58;12;86;98;23;40;95;52;7;6;43;95;13;91;44
3;87;72;20;51;9;75;63;5;62;96;5;86;61;2;77;88;62;18;8
36;99;22;97;29;16;99;33;83;70;30;93;70;11;24;15;26;21;2;29
65;36;53;70;8;95;30;41;28;55;54;71;85;23;78;9;20;39;25;57
7;44;56;50;58;89;44;70;24;28;50;11;88;82;66;73;6;81;65;77
72;56;3;98;11;80;60;18;58;37;55;61;24;61;61;27;89;91;84;79
23;24;56;76;24;41;48;49;64;5;35;60;87;72;66;35;28;87;91;72
7;46;80;98;65;44;64;42;79;40;70;18;47;55;63;87;72;61;78;61
49;6;82;95;26;17;28;14;60;61;19;30;5;33;67;99;90;46;56;41
